"","subject","trial","offer.1","offer.2","u1","u2","choice_prob","choice"
"97",1,97,6,2,0.5,0.1,0.598687660112452,2
"98",1,98,2,6,0.1,0.5,0.401312339887548,2
"99",1,99,3,4,0.6,-0.4,0.731058578630005,2
"100",1,100,4,1,-0.4,-0.1,0.425557483188341,1
"101",2,1,3,6,0.6,0.5,0.52497918747894,2
"102",2,2,3,6,0.6,0.5,0.52497918747894,1
"103",2,3,2,3,0.1,0.6,0.377540668798145,2
"104",2,4,6,2,0.5,0.1,0.598687660112452,1
"105",2,5,5,6,-0.5,0.5,0.268941421369995,2
"106",2,6,5,4,-0.5,-0.4,0.47502081252106,1
"107",2,7,6,2,0.5,0.1,0.598687660112452,1
"108",2,8,4,2,-0.4,0.1,0.377540668798145,1
"109",2,9,2,6,0.1,0.5,0.401312339887548,1
"110",2,10,5,2,-0.5,0.1,0.354343693774205,2
"111",2,11,6,5,0.5,-0.5,0.731058578630005,1
"112",2,12,6,2,0.5,0.1,0.598687660112452,2
"113",2,13,4,1,-0.4,-0.1,0.425557483188341,1
"114",2,14,3,6,0.6,0.5,0.52497918747894,1
"115",2,15,3,5,0.6,-0.5,0.750260105595118,1
"116",2,16,3,6,0.6,0.5,0.52497918747894,2
"117",2,17,1,5,-0.1,-0.5,0.598687660112452,2
"118",2,18,5,4,-0.5,-0.4,0.47502081252106,2
"119",2,19,5,2,-0.5,0.1,0.354343693774205,2
"120",2,20,4,1,-0.4,-0.1,0.425557483188341,1
"121",2,21,2,6,0.1,0.5,0.401312339887548,1
"122",2,22,6,2,0.5,0.1,0.598687660112452,1
"123",2,23,1,3,-0.1,0.6,0.331812227831834,2
"124",2,24,5,2,-0.5,0.1,0.354343693774205,1
"125",2,25,6,1,0.5,-0.1,0.645656306225795,1
"126",2,26,6,1,0.5,-0.1,0.645656306225795,1
"127",2,27,4,2,-0.4,0.1,0.377540668798145,1
"128",2,28,1,4,-0.1,-0.4,0.574442516811659,2
"129",2,29,3,1,0.6,-0.1,0.668187772168166,1
"130",2,30,4,5,-0.4,-0.5,0.52497918747894,1
"131",2,31,1,6,-0.1,0.5,0.354343693774205,2
"132",2,32,3,5,0.6,-0.5,0.750260105595118,1
"133",2,33,2,4,0.1,-0.4,0.622459331201855,1
"134",2,34,3,6,0.6,0.5,0.52497918747894,2
"135",2,35,3,4,0.6,-0.4,0.731058578630005,1
"136",2,36,2,6,0.1,0.5,0.401312339887548,2
"137",2,37,3,5,0.6,-0.5,0.750260105595118,1
"138",2,38,1,6,-0.1,0.5,0.354343693774205,2
"139",2,39,3,1,0.6,-0.1,0.668187772168166,1
"140",2,40,5,1,-0.5,-0.1,0.401312339887548,1
"141",2,41,5,6,-0.5,0.5,0.268941421369995,1
"142",2,42,1,4,-0.1,-0.4,0.574442516811659,1
"143",2,43,4,5,-0.4,-0.5,0.52497918747894,1
"144",2,44,5,6,-0.5,0.5,0.268941421369995,2
"145",2,45,2,3,0.1,0.6,0.377540668798145,2
"146",2,46,3,4,0.6,-0.4,0.731058578630005,1
"147",2,47,5,2,-0.5,0.1,0.354343693774205,1
"148",2,48,3,1,0.6,-0.1,0.668187772168166,1
"149",2,49,4,3,-0.4,0.6,0.268941421369995,2
"150",2,50,4,5,-0.4,-0.5,0.52497918747894,1
"151",2,51,1,4,-0.1,-0.4,0.574442516811659,2
"152",2,52,6,2,0.5,0.1,0.598687660112452,1
"153",2,53,2,6,0.1,0.5,0.401312339887548,1
"154",2,54,2,5,0.1,-0.5,0.645656306225795,1
"155",2,55,6,5,0.5,-0.5,0.731058578630005,1
"156",2,56,6,1,0.5,-0.1,0.645656306225795,2
"157",2,57,3,1,0.6,-0.1,0.668187772168166,1
"158",2,58,1,6,-0.1,0.5,0.354343693774205,1
"159",2,59,4,1,-0.4,-0.1,0.425557483188341,1
"160",2,60,3,5,0.6,-0.5,0.750260105595118,1
"161",2,61,4,6,-0.4,0.5,0.289050497374996,2
"162",2,62,5,6,-0.5,0.5,0.268941421369995,2
"163",2,63,5,6,-0.5,0.5,0.268941421369995,2
"164",2,64,4,3,-0.4,0.6,0.268941421369995,2
"165",2,65,6,4,0.5,-0.4,0.710949502625004,2
"166",2,66,4,3,-0.4,0.6,0.268941421369995,1
"167",2,67,6,1,0.5,-0.1,0.645656306225795,1
"168",2,68,4,1,-0.4,-0.1,0.425557483188341,1
"169",2,69,6,5,0.5,-0.5,0.731058578630005,1
"170",2,70,3,2,0.6,0.1,0.622459331201855,2
"171",2,71,1,6,-0.1,0.5,0.354343693774205,2
"172",2,72,4,5,-0.4,-0.5,0.52497918747894,2
"173",2,73,2,6,0.1,0.5,0.401312339887548,2
"174",2,74,2,3,0.1,0.6,0.377540668798145,2
"175",2,75,5,1,-0.5,-0.1,0.401312339887548,1
"176",2,76,4,6,-0.4,0.5,0.289050497374996,2
"177",2,77,3,4,0.6,-0.4,0.731058578630005,1
"178",2,78,2,4,0.1,-0.4,0.622459331201855,1
"179",2,79,2,1,0.1,-0.1,0.549833997312478,1
"180",2,80,1,4,-0.1,-0.4,0.574442516811659,2
"181",2,81,6,3,0.5,0.6,0.47502081252106,2
"182",2,82,1,5,-0.1,-0.5,0.598687660112452,1
"183",2,83,1,4,-0.1,-0.4,0.574442516811659,1
"184",2,84,6,4,0.5,-0.4,0.710949502625004,1
"185",2,85,3,6,0.6,0.5,0.52497918747894,1
"186",2,86,4,1,-0.4,-0.1,0.425557483188341,1
"187",2,87,6,5,0.5,-0.5,0.731058578630005,1
"188",2,88,6,4,0.5,-0.4,0.710949502625004,1
"189",2,89,2,1,0.1,-0.1,0.549833997312478,1
"190",2,90,4,2,-0.4,0.1,0.377540668798145,1
"191",2,91,3,6,0.6,0.5,0.52497918747894,1
"192",2,92,1,5,-0.1,-0.5,0.598687660112452,1
"193",2,93,3,2,0.6,0.1,0.622459331201855,1
"194",2,94,2,4,0.1,-0.4,0.622459331201855,1
"195",2,95,6,4,0.5,-0.4,0.710949502625004,1
"196",2,96,6,2,0.5,0.1,0.598687660112452,1
"197",2,97,6,5,0.5,-0.5,0.731058578630005,2
"198",2,98,2,6,0.1,0.5,0.401312339887548,1
"199",2,99,2,1,0.1,-0.1,0.549833997312478,1
"200",2,100,4,5,-0.4,-0.5,0.52497918747894,1
"201",3,1,5,1,-0.5,-0.1,0.401312339887548,2
"202",3,2,3,5,0.6,-0.5,0.750260105595118,2
"203",3,3,2,1,0.1,-0.1,0.549833997312478,1
"204",3,4,4,3,-0.4,0.6,0.268941421369995,2
"205",3,5,5,6,-0.5,0.5,0.268941421369995,1
"206",3,6,6,1,0.5,-0.1,0.645656306225795,1
"207",3,7,2,1,0.1,-0.1,0.549833997312478,2
"208",3,8,3,1,0.6,-0.1,0.668187772168166,2
"209",3,9,2,4,0.1,-0.4,0.622459331201855,2
"210",3,10,1,5,-0.1,-0.5,0.598687660112452,2
"211",3,11,3,2,0.6,0.1,0.622459331201855,2
"212",3,12,5,1,-0.5,-0.1,0.401312339887548,2
"213",3,13,1,5,-0.1,-0.5,0.598687660112452,2
"214",3,14,2,6,0.1,0.5,0.401312339887548,1
"215",3,15,5,3,-0.5,0.6,0.249739894404882,2
"216",3,16,5,2,-0.5,0.1,0.354343693774205,2
"217",3,17,3,4,0.6,-0.4,0.731058578630005,2
"218",3,18,2,3,0.1,0.6,0.377540668798145,2
"219",3,19,6,3,0.5,0.6,0.47502081252106,1
"220",3,20,6,3,0.5,0.6,0.47502081252106,2
"221",3,21,2,4,0.1,-0.4,0.622459331201855,1
"222",3,22,4,6,-0.4,0.5,0.289050497374996,1
"223",3,23,4,3,-0.4,0.6,0.268941421369995,2
"224",3,24,1,4,-0.1,-0.4,0.574442516811659,2
"225",3,25,2,5,0.1,-0.5,0.645656306225795,1
"226",3,26,4,6,-0.4,0.5,0.289050497374996,2
"227",3,27,3,6,0.6,0.5,0.52497918747894,2
"228",3,28,6,1,0.5,-0.1,0.645656306225795,1
"229",3,29,1,6,-0.1,0.5,0.354343693774205,2
"230",3,30,3,6,0.6,0.5,0.52497918747894,1
"231",3,31,5,4,-0.5,-0.4,0.47502081252106,1
"232",3,32,1,2,-0.1,0.1,0.450166002687522,1
"233",3,33,6,2,0.5,0.1,0.598687660112452,1
"234",3,34,2,6,0.1,0.5,0.401312339887548,2
"235",3,35,6,3,0.5,0.6,0.47502081252106,2
"236",3,36,3,5,0.6,-0.5,0.750260105595118,1
"237",3,37,4,5,-0.4,-0.5,0.52497918747894,1
"238",3,38,3,6,0.6,0.5,0.52497918747894,1
"239",3,39,2,4,0.1,-0.4,0.622459331201855,1
"240",3,40,5,3,-0.5,0.6,0.249739894404882,2
"241",3,41,1,2,-0.1,0.1,0.450166002687522,2
"242",3,42,5,6,-0.5,0.5,0.268941421369995,2
"243",3,43,1,4,-0.1,-0.4,0.574442516811659,1
"244",3,44,1,2,-0.1,0.1,0.450166002687522,2
"245",3,45,1,2,-0.1,0.1,0.450166002687522,2
"246",3,46,3,1,0.6,-0.1,0.668187772168166,1
"247",3,47,3,5,0.6,-0.5,0.750260105595118,1
"248",3,48,6,5,0.5,-0.5,0.731058578630005,1
"249",3,49,1,6,-0.1,0.5,0.354343693774205,2
"250",3,50,4,5,-0.4,-0.5,0.52497918747894,2
"251",3,51,2,1,0.1,-0.1,0.549833997312478,1
"252",3,52,4,2,-0.4,0.1,0.377540668798145,1
"253",3,53,2,3,0.1,0.6,0.377540668798145,1
"254",3,54,1,4,-0.1,-0.4,0.574442516811659,2
"255",3,55,1,4,-0.1,-0.4,0.574442516811659,2
"256",3,56,6,2,0.5,0.1,0.598687660112452,1
"257",3,57,4,5,-0.4,-0.5,0.52497918747894,2
"258",3,58,2,1,0.1,-0.1,0.549833997312478,1
"259",3,59,2,5,0.1,-0.5,0.645656306225795,1
"260",3,60,1,2,-0.1,0.1,0.450166002687522,2
"261",3,61,3,1,0.6,-0.1,0.668187772168166,1
"262",3,62,3,1,0.6,-0.1,0.668187772168166,2
"263",3,63,4,3,-0.4,0.6,0.268941421369995,2
"264",3,64,3,6,0.6,0.5,0.52497918747894,2
"265",3,65,2,6,0.1,0.5,0.401312339887548,2
"266",3,66,1,3,-0.1,0.6,0.331812227831834,2
"267",3,67,2,4,0.1,-0.4,0.622459331201855,1
"268",3,68,1,3,-0.1,0.6,0.331812227831834,2
"269",3,69,5,2,-0.5,0.1,0.354343693774205,1
"270",3,70,5,1,-0.5,-0.1,0.401312339887548,2
"271",3,71,4,1,-0.4,-0.1,0.425557483188341,2
"272",3,72,6,2,0.5,0.1,0.598687660112452,1
"273",3,73,1,2,-0.1,0.1,0.450166002687522,1
"274",3,74,1,5,-0.1,-0.5,0.598687660112452,1
"275",3,75,3,5,0.6,-0.5,0.750260105595118,1
"276",3,76,5,3,-0.5,0.6,0.249739894404882,2
"277",3,77,3,1,0.6,-0.1,0.668187772168166,1
"278",3,78,3,5,0.6,-0.5,0.750260105595118,1
"279",3,79,1,3,-0.1,0.6,0.331812227831834,1
"280",3,80,1,2,-0.1,0.1,0.450166002687522,1
"281",3,81,3,1,0.6,-0.1,0.668187772168166,2
"282",3,82,4,5,-0.4,-0.5,0.52497918747894,2
"283",3,83,3,5,0.6,-0.5,0.750260105595118,1
"284",3,84,3,5,0.6,-0.5,0.750260105595118,2
"285",3,85,6,3,0.5,0.6,0.47502081252106,2
"286",3,86,4,1,-0.4,-0.1,0.425557483188341,2
"287",3,87,6,3,0.5,0.6,0.47502081252106,1
"288",3,88,5,6,-0.5,0.5,0.268941421369995,1
"289",3,89,4,5,-0.4,-0.5,0.52497918747894,2
"290",3,90,5,2,-0.5,0.1,0.354343693774205,2
"291",3,91,3,6,0.6,0.5,0.52497918747894,2
"292",3,92,2,5,0.1,-0.5,0.645656306225795,2
"293",3,93,2,5,0.1,-0.5,0.645656306225795,1
"294",3,94,3,5,0.6,-0.5,0.750260105595118,1
"295",3,95,6,1,0.5,-0.1,0.645656306225795,1
"296",3,96,2,5,0.1,-0.5,0.645656306225795,1
"297",3,97,3,4,0.6,-0.4,0.731058578630005,1
"298",3,98,4,2,-0.4,0.1,0.377540668798145,2
"299",3,99,6,1,0.5,-0.1,0.645656306225795,2
"300",3,100,2,5,0.1,-0.5,0.645656306225795,2
"301",4,1,1,5,-0.1,-0.5,0.598687660112452,1
"302",4,2,4,1,-0.4,-0.1,0.425557483188341,2
"303",4,3,1,4,-0.1,-0.4,0.574442516811659,1
"304",4,4,1,5,-0.1,-0.5,0.598687660112452,2
"305",4,5,2,4,0.1,-0.4,0.622459331201855,2
"306",4,6,6,4,0.5,-0.4,0.710949502625004,2
"307",4,7,4,5,-0.4,-0.5,0.52497918747894,1
"308",4,8,2,5,0.1,-0.5,0.645656306225795,1
"309",4,9,6,3,0.5,0.6,0.47502081252106,2
"310",4,10,5,6,-0.5,0.5,0.268941421369995,2
"311",4,11,5,3,-0.5,0.6,0.249739894404882,1
"312",4,12,4,6,-0.4,0.5,0.289050497374996,2
"313",4,13,4,3,-0.4,0.6,0.268941421369995,2
"314",4,14,6,1,0.5,-0.1,0.645656306225795,1
"315",4,15,1,3,-0.1,0.6,0.331812227831834,2
"316",4,16,4,5,-0.4,-0.5,0.52497918747894,2
"317",4,17,1,4,-0.1,-0.4,0.574442516811659,2
"318",4,18,6,5,0.5,-0.5,0.731058578630005,1
"319",4,19,2,4,0.1,-0.4,0.622459331201855,1
"320",4,20,3,6,0.6,0.5,0.52497918747894,1
"321",4,21,4,5,-0.4,-0.5,0.52497918747894,1
"322",4,22,3,5,0.6,-0.5,0.750260105595118,1
"323",4,23,2,1,0.1,-0.1,0.549833997312478,1
"324",4,24,3,2,0.6,0.1,0.622459331201855,2
"325",4,25,5,1,-0.5,-0.1,0.401312339887548,1
"326",4,26,6,5,0.5,-0.5,0.731058578630005,2
"327",4,27,6,4,0.5,-0.4,0.710949502625004,1
"328",4,28,6,3,0.5,0.6,0.47502081252106,1
"329",4,29,6,2,0.5,0.1,0.598687660112452,1
"330",4,30,5,4,-0.5,-0.4,0.47502081252106,1
"331",4,31,5,1,-0.5,-0.1,0.401312339887548,2
"332",4,32,1,5,-0.1,-0.5,0.598687660112452,2
"333",4,33,5,3,-0.5,0.6,0.249739894404882,1
"334",4,34,4,1,-0.4,-0.1,0.425557483188341,2
"335",4,35,3,6,0.6,0.5,0.52497918747894,1
"336",4,36,2,3,0.1,0.6,0.377540668798145,2
"337",4,37,1,6,-0.1,0.5,0.354343693774205,2
"338",4,38,3,1,0.6,-0.1,0.668187772168166,2
"339",4,39,4,1,-0.4,-0.1,0.425557483188341,1
"340",4,40,4,2,-0.4,0.1,0.377540668798145,2
"341",4,41,6,1,0.5,-0.1,0.645656306225795,1
"342",4,42,5,2,-0.5,0.1,0.354343693774205,2
"343",4,43,1,3,-0.1,0.6,0.331812227831834,2
"344",4,44,1,4,-0.1,-0.4,0.574442516811659,1
"345",4,45,5,4,-0.5,-0.4,0.47502081252106,1
"346",4,46,3,1,0.6,-0.1,0.668187772168166,2
"347",4,47,6,1,0.5,-0.1,0.645656306225795,1
"348",4,48,4,6,-0.4,0.5,0.289050497374996,1
"349",4,49,5,6,-0.5,0.5,0.268941421369995,1
"350",4,50,4,5,-0.4,-0.5,0.52497918747894,1
"351",4,51,6,1,0.5,-0.1,0.645656306225795,1
"352",4,52,5,2,-0.5,0.1,0.354343693774205,2
"353",4,53,1,4,-0.1,-0.4,0.574442516811659,2
"354",4,54,1,3,-0.1,0.6,0.331812227831834,2
"355",4,55,3,6,0.6,0.5,0.52497918747894,1
"356",4,56,1,3,-0.1,0.6,0.331812227831834,2
"357",4,57,1,3,-0.1,0.6,0.331812227831834,2
"358",4,58,3,1,0.6,-0.1,0.668187772168166,1
"359",4,59,6,3,0.5,0.6,0.47502081252106,1
"360",4,60,1,3,-0.1,0.6,0.331812227831834,2
"361",4,61,1,6,-0.1,0.5,0.354343693774205,2
"362",4,62,4,1,-0.4,-0.1,0.425557483188341,2
"363",4,63,6,2,0.5,0.1,0.598687660112452,2
"364",4,64,1,4,-0.1,-0.4,0.574442516811659,2
"365",4,65,4,6,-0.4,0.5,0.289050497374996,2
"366",4,66,6,5,0.5,-0.5,0.731058578630005,2
"367",4,67,3,4,0.6,-0.4,0.731058578630005,1
"368",4,68,4,5,-0.4,-0.5,0.52497918747894,1
"369",4,69,2,3,0.1,0.6,0.377540668798145,1
"370",4,70,5,2,-0.5,0.1,0.354343693774205,1
"371",4,71,5,3,-0.5,0.6,0.249739894404882,1
"372",4,72,3,6,0.6,0.5,0.52497918747894,1
"373",4,73,3,5,0.6,-0.5,0.750260105595118,2
"374",4,74,1,3,-0.1,0.6,0.331812227831834,1
"375",4,75,6,4,0.5,-0.4,0.710949502625004,1
"376",4,76,6,5,0.5,-0.5,0.731058578630005,1
"377",4,77,4,3,-0.4,0.6,0.268941421369995,2
"378",4,78,5,2,-0.5,0.1,0.354343693774205,1
"379",4,79,1,3,-0.1,0.6,0.331812227831834,1
"380",4,80,2,6,0.1,0.5,0.401312339887548,1
"381",4,81,6,1,0.5,-0.1,0.645656306225795,1
"382",4,82,4,3,-0.4,0.6,0.268941421369995,1
"383",4,83,1,5,-0.1,-0.5,0.598687660112452,2
"384",4,84,4,3,-0.4,0.6,0.268941421369995,1
"385",4,85,4,5,-0.4,-0.5,0.52497918747894,2
"386",4,86,3,6,0.6,0.5,0.52497918747894,2
"387",4,87,6,1,0.5,-0.1,0.645656306225795,1
"388",4,88,6,1,0.5,-0.1,0.645656306225795,1
"389",4,89,5,6,-0.5,0.5,0.268941421369995,2
"390",4,90,5,4,-0.5,-0.4,0.47502081252106,1
"391",4,91,3,1,0.6,-0.1,0.668187772168166,2
"392",4,92,6,4,0.5,-0.4,0.710949502625004,1
"393",4,93,2,3,0.1,0.6,0.377540668798145,2
"394",4,94,5,4,-0.5,-0.4,0.47502081252106,2
"395",4,95,6,5,0.5,-0.5,0.731058578630005,1
"396",4,96,6,3,0.5,0.6,0.47502081252106,2
"397",4,97,6,4,0.5,-0.4,0.710949502625004,1
"398",4,98,1,6,-0.1,0.5,0.354343693774205,2
"399",4,99,3,6,0.6,0.5,0.52497918747894,2
"400",4,100,4,2,-0.4,0.1,0.377540668798145,2
"401",5,1,2,4,0.1,-0.4,0.622459331201855,1
"402",5,2,6,5,0.5,-0.5,0.731058578630005,1
"403",5,3,1,6,-0.1,0.5,0.354343693774205,1
"404",5,4,6,3,0.5,0.6,0.47502081252106,1
"405",5,5,3,1,0.6,-0.1,0.668187772168166,2
"406",5,6,3,4,0.6,-0.4,0.731058578630005,1
"407",5,7,5,4,-0.5,-0.4,0.47502081252106,1
"408",5,8,2,5,0.1,-0.5,0.645656306225795,2
"409",5,9,6,4,0.5,-0.4,0.710949502625004,1
"410",5,10,1,6,-0.1,0.5,0.354343693774205,2
"411",5,11,2,5,0.1,-0.5,0.645656306225795,1
"412",5,12,1,3,-0.1,0.6,0.331812227831834,1
"413",5,13,6,3,0.5,0.6,0.47502081252106,2
"414",5,14,1,5,-0.1,-0.5,0.598687660112452,2
"415",5,15,3,4,0.6,-0.4,0.731058578630005,1
"416",5,16,1,5,-0.1,-0.5,0.598687660112452,2
"417",5,17,3,4,0.6,-0.4,0.731058578630005,1
"418",5,18,6,5,0.5,-0.5,0.731058578630005,1
"419",5,19,2,6,0.1,0.5,0.401312339887548,1
"420",5,20,1,5,-0.1,-0.5,0.598687660112452,1
"421",5,21,5,1,-0.5,-0.1,0.401312339887548,2
"422",5,22,3,6,0.6,0.5,0.52497918747894,2
"423",5,23,2,1,0.1,-0.1,0.549833997312478,2
"424",5,24,6,1,0.5,-0.1,0.645656306225795,1
"425",5,25,5,1,-0.5,-0.1,0.401312339887548,2
"426",5,26,4,5,-0.4,-0.5,0.52497918747894,1
"427",5,27,3,5,0.6,-0.5,0.750260105595118,1
"428",5,28,6,3,0.5,0.6,0.47502081252106,2
"429",5,29,1,2,-0.1,0.1,0.450166002687522,2
"430",5,30,4,5,-0.4,-0.5,0.52497918747894,2
"431",5,31,2,1,0.1,-0.1,0.549833997312478,2
"432",5,32,2,1,0.1,-0.1,0.549833997312478,2
"433",5,33,3,1,0.6,-0.1,0.668187772168166,1
"434",5,34,3,4,0.6,-0.4,0.731058578630005,1
"435",5,35,3,6,0.6,0.5,0.52497918747894,1
"436",5,36,2,4,0.1,-0.4,0.622459331201855,2
"437",5,37,1,6,-0.1,0.5,0.354343693774205,1
"438",5,38,3,5,0.6,-0.5,0.750260105595118,2
"439",5,39,3,2,0.6,0.1,0.622459331201855,1
"440",5,40,5,1,-0.5,-0.1,0.401312339887548,2
"441",5,41,6,1,0.5,-0.1,0.645656306225795,2
"442",5,42,6,4,0.5,-0.4,0.710949502625004,1
"443",5,43,4,1,-0.4,-0.1,0.425557483188341,2
"444",5,44,2,5,0.1,-0.5,0.645656306225795,2
"445",5,45,6,4,0.5,-0.4,0.710949502625004,1
"446",5,46,6,1,0.5,-0.1,0.645656306225795,2
"447",5,47,5,1,-0.5,-0.1,0.401312339887548,1
"448",5,48,2,3,0.1,0.6,0.377540668798145,2
"449",5,49,1,3,-0.1,0.6,0.331812227831834,2
"450",5,50,6,4,0.5,-0.4,0.710949502625004,2
"451",5,51,1,3,-0.1,0.6,0.331812227831834,1
"452",5,52,5,6,-0.5,0.5,0.268941421369995,2
"453",5,53,3,5,0.6,-0.5,0.750260105595118,1
"454",5,54,6,2,0.5,0.1,0.598687660112452,1
"455",5,55,1,4,-0.1,-0.4,0.574442516811659,1
"456",5,56,5,1,-0.5,-0.1,0.401312339887548,1
"457",5,57,1,4,-0.1,-0.4,0.574442516811659,1
"458",5,58,6,1,0.5,-0.1,0.645656306225795,1
"459",5,59,1,2,-0.1,0.1,0.450166002687522,2
"460",5,60,3,6,0.6,0.5,0.52497918747894,2
"461",5,61,4,1,-0.4,-0.1,0.425557483188341,1
"462",5,62,3,4,0.6,-0.4,0.731058578630005,1
"463",5,63,4,1,-0.4,-0.1,0.425557483188341,2
