"trial","subject","offer_A","RT","offer_B","is_choice_A","choice","subject_original_id"
31,2,7,1.295,5,1,7,"698c6d3d083ae26c88d529bb"
32,2,2,1.524,5,0,5,"698c6d3d083ae26c88d529bb"
33,2,6,1.503,5,0,5,"698c6d3d083ae26c88d529bb"
34,2,2,1.196,5,0,5,"698c6d3d083ae26c88d529bb"
35,2,6,2.391,5,1,6,"698c6d3d083ae26c88d529bb"
36,2,8,1.087,5,1,8,"698c6d3d083ae26c88d529bb"
37,2,3,1.058,5,1,3,"698c6d3d083ae26c88d529bb"
38,2,3,1.2,5,0,5,"698c6d3d083ae26c88d529bb"
39,2,7,1.184,5,0,5,"698c6d3d083ae26c88d529bb"
40,2,6,1.722,5,0,5,"698c6d3d083ae26c88d529bb"
41,2,4,1.347,5,1,4,"698c6d3d083ae26c88d529bb"
42,2,7,1.32,5,0,5,"698c6d3d083ae26c88d529bb"
43,2,2,1.134,5,0,5,"698c6d3d083ae26c88d529bb"
44,2,4,1.61,5,0,5,"698c6d3d083ae26c88d529bb"
45,2,7,1.594,5,1,7,"698c6d3d083ae26c88d529bb"
46,2,2,1.238,5,0,5,"698c6d3d083ae26c88d529bb"
47,2,6,2.368,5,0,5,"698c6d3d083ae26c88d529bb"
48,2,4,2.418,5,1,4,"698c6d3d083ae26c88d529bb"
49,2,3,1.737,5,1,3,"698c6d3d083ae26c88d529bb"
50,2,8,1.149,5,0,5,"698c6d3d083ae26c88d529bb"
51,2,6,1.151,5,1,6,"698c6d3d083ae26c88d529bb"
52,2,2,2.301,5,1,2,"698c6d3d083ae26c88d529bb"
53,2,8,1.073,5,1,8,"698c6d3d083ae26c88d529bb"
54,2,6,1.454,5,0,5,"698c6d3d083ae26c88d529bb"
55,2,2,1.31,5,0,5,"698c6d3d083ae26c88d529bb"
56,2,8,1.125,5,0,5,"698c6d3d083ae26c88d529bb"
57,2,4,1.047,5,0,5,"698c6d3d083ae26c88d529bb"
58,2,6,1.578,5,1,6,"698c6d3d083ae26c88d529bb"
59,2,2,1.017,5,1,2,"698c6d3d083ae26c88d529bb"
60,2,4,1.696,5,1,4,"698c6d3d083ae26c88d529bb"
61,2,7,1.221,5,1,7,"698c6d3d083ae26c88d529bb"
62,2,8,1.174,5,0,5,"698c6d3d083ae26c88d529bb"
63,2,6,1.402,5,1,6,"698c6d3d083ae26c88d529bb"
64,2,4,2.258,5,0,5,"698c6d3d083ae26c88d529bb"
65,2,3,1.274,5,0,5,"698c6d3d083ae26c88d529bb"
66,2,3,1.546,5,1,3,"698c6d3d083ae26c88d529bb"
67,2,2,2.948,5,1,2,"698c6d3d083ae26c88d529bb"
68,2,7,1.995,5,1,7,"698c6d3d083ae26c88d529bb"
69,2,3,1.889,5,0,5,"698c6d3d083ae26c88d529bb"
70,2,6,3.793,5,0,5,"698c6d3d083ae26c88d529bb"
71,2,2,0.736,5,1,2,"698c6d3d083ae26c88d529bb"
72,2,3,2.587,5,1,3,"698c6d3d083ae26c88d529bb"
73,2,8,1.121,5,1,8,"698c6d3d083ae26c88d529bb"
74,2,4,1.52,5,1,4,"698c6d3d083ae26c88d529bb"
75,2,8,1.057,5,0,5,"698c6d3d083ae26c88d529bb"
76,2,4,1.786,5,1,4,"698c6d3d083ae26c88d529bb"
77,2,7,0.836,5,0,5,"698c6d3d083ae26c88d529bb"
78,2,6,1.212,5,0,5,"698c6d3d083ae26c88d529bb"
79,2,6,1.143,5,0,5,"698c6d3d083ae26c88d529bb"
80,2,2,0.93,5,1,2,"698c6d3d083ae26c88d529bb"
81,2,3,0.825,5,0,5,"698c6d3d083ae26c88d529bb"
82,2,8,0.843,5,0,5,"698c6d3d083ae26c88d529bb"
83,2,3,1.461,5,1,3,"698c6d3d083ae26c88d529bb"
84,2,7,0.78,5,1,7,"698c6d3d083ae26c88d529bb"
85,2,2,3.255,5,0,5,"698c6d3d083ae26c88d529bb"
86,2,7,2.334,5,0,5,"698c6d3d083ae26c88d529bb"
87,2,7,1.074,5,0,5,"698c6d3d083ae26c88d529bb"
88,2,6,0.999,5,1,6,"698c6d3d083ae26c88d529bb"
89,2,7,0.722,5,1,7,"698c6d3d083ae26c88d529bb"
90,2,2,0.93,5,1,2,"698c6d3d083ae26c88d529bb"
91,2,8,1.488,5,1,8,"698c6d3d083ae26c88d529bb"
92,2,6,0.833,5,1,6,"698c6d3d083ae26c88d529bb"
93,2,3,2.516,5,0,5,"698c6d3d083ae26c88d529bb"
94,2,6,1.836,5,1,6,"698c6d3d083ae26c88d529bb"
95,2,4,1.08,5,1,4,"698c6d3d083ae26c88d529bb"
96,2,7,1.549,5,1,7,"698c6d3d083ae26c88d529bb"
97,2,4,1.808,5,0,5,"698c6d3d083ae26c88d529bb"
98,2,3,3.439,5,1,3,"698c6d3d083ae26c88d529bb"
99,2,8,2.401,5,0,5,"698c6d3d083ae26c88d529bb"
100,2,3,1.926,5,0,5,"698c6d3d083ae26c88d529bb"
101,2,8,1.44,5,1,8,"698c6d3d083ae26c88d529bb"
102,2,2,1.572,5,1,2,"698c6d3d083ae26c88d529bb"
103,2,4,2.63,5,0,5,"698c6d3d083ae26c88d529bb"
104,2,3,1.648,5,1,3,"698c6d3d083ae26c88d529bb"
105,2,6,1.707,5,0,5,"698c6d3d083ae26c88d529bb"
106,2,8,1.901,5,0,5,"698c6d3d083ae26c88d529bb"
107,2,4,1.496,5,0,5,"698c6d3d083ae26c88d529bb"
108,2,7,0.972,5,1,7,"698c6d3d083ae26c88d529bb"
109,2,3,1.062,5,1,3,"698c6d3d083ae26c88d529bb"
110,2,7,0.637,5,1,7,"698c6d3d083ae26c88d529bb"
111,2,4,1.199,5,0,5,"698c6d3d083ae26c88d529bb"
112,2,6,1.074,5,0,5,"698c6d3d083ae26c88d529bb"
113,2,7,1.159,5,1,7,"698c6d3d083ae26c88d529bb"
114,2,3,1.572,5,0,5,"698c6d3d083ae26c88d529bb"
115,2,4,1.266,5,1,4,"698c6d3d083ae26c88d529bb"
116,2,8,1.093,5,0,5,"698c6d3d083ae26c88d529bb"
117,2,2,0.657,5,1,2,"698c6d3d083ae26c88d529bb"
118,2,2,1.161,5,0,5,"698c6d3d083ae26c88d529bb"
119,2,8,0.853,5,1,8,"698c6d3d083ae26c88d529bb"
120,2,6,1.107,5,0,5,"698c6d3d083ae26c88d529bb"
121,4,2,3.041,5,0,5,"69b1aee32d960121fc72d41e"
122,4,7,2.931,5,0,5,"69b1aee32d960121fc72d41e"
123,4,3,2.905,5,0,5,"69b1aee32d960121fc72d41e"
124,4,7,2.882,5,1,7,"69b1aee32d960121fc72d41e"
125,4,4,3.048,5,0,5,"69b1aee32d960121fc72d41e"
126,4,3,2.955,5,0,5,"69b1aee32d960121fc72d41e"
127,4,4,2.656,5,0,5,"69b1aee32d960121fc72d41e"
128,4,3,3.039,5,1,3,"69b1aee32d960121fc72d41e"
129,4,2,2.372,5,1,2,"69b1aee32d960121fc72d41e"
130,4,7,4.242,5,0,5,"69b1aee32d960121fc72d41e"
131,4,6,1.967,5,1,6,"69b1aee32d960121fc72d41e"
132,4,8,2.635,5,0,5,"69b1aee32d960121fc72d41e"
133,4,2,2.594,5,1,2,"69b1aee32d960121fc72d41e"
134,4,8,3.705,5,1,8,"69b1aee32d960121fc72d41e"
135,4,6,4.473,5,1,6,"69b1aee32d960121fc72d41e"
136,4,4,3.582,5,1,4,"69b1aee32d960121fc72d41e"
137,4,6,2.316,5,1,6,"69b1aee32d960121fc72d41e"
138,4,8,2.516,5,1,8,"69b1aee32d960121fc72d41e"
139,4,2,1.771,5,1,2,"69b1aee32d960121fc72d41e"
140,4,8,2.623,5,1,8,"69b1aee32d960121fc72d41e"
141,4,7,3.143,5,1,7,"69b1aee32d960121fc72d41e"
142,4,6,4.034,5,0,5,"69b1aee32d960121fc72d41e"
143,4,7,1.771,5,0,5,"69b1aee32d960121fc72d41e"
144,4,4,2.86,5,1,4,"69b1aee32d960121fc72d41e"
145,4,2,3.479,5,0,5,"69b1aee32d960121fc72d41e"
146,4,2,2.101,5,0,5,"69b1aee32d960121fc72d41e"
147,4,4,3.962,5,0,5,"69b1aee32d960121fc72d41e"
148,4,3,2.656,5,1,3,"69b1aee32d960121fc72d41e"
149,4,6,3.226,5,0,5,"69b1aee32d960121fc72d41e"
150,4,6,3.324,5,0,5,"69b1aee32d960121fc72d41e"
151,4,3,4.186,5,0,5,"69b1aee32d960121fc72d41e"
152,4,8,5.036,5,1,8,"69b1aee32d960121fc72d41e"
153,4,8,1.902,5,1,8,"69b1aee32d960121fc72d41e"
154,4,4,4.245,5,1,4,"69b1aee32d960121fc72d41e"
155,4,3,4.1,5,1,3,"69b1aee32d960121fc72d41e"
156,4,7,2.989,5,0,5,"69b1aee32d960121fc72d41e"
157,4,6,5.043,5,0,5,"69b1aee32d960121fc72d41e"
158,4,7,3.742,5,0,5,"69b1aee32d960121fc72d41e"
159,4,2,1.719,5,0,5,"69b1aee32d960121fc72d41e"
160,4,2,3.101,5,1,2,"69b1aee32d960121fc72d41e"
161,4,3,2.047,5,0,5,"69b1aee32d960121fc72d41e"
162,4,4,1.558,5,0,5,"69b1aee32d960121fc72d41e"
163,4,3,2.554,5,0,5,"69b1aee32d960121fc72d41e"
164,4,7,2.354,5,1,7,"69b1aee32d960121fc72d41e"
165,4,8,2.868,5,1,8,"69b1aee32d960121fc72d41e"
166,4,3,2.218,5,0,5,"69b1aee32d960121fc72d41e"
167,4,4,2.664,5,0,5,"69b1aee32d960121fc72d41e"
168,4,7,2.817,5,0,5,"69b1aee32d960121fc72d41e"
169,4,4,1.754,5,0,5,"69b1aee32d960121fc72d41e"
170,4,2,1.732,5,0,5,"69b1aee32d960121fc72d41e"
171,4,6,3.877,5,0,5,"69b1aee32d960121fc72d41e"
172,4,8,2.472,5,1,8,"69b1aee32d960121fc72d41e"
173,4,6,0.945,5,1,6,"69b1aee32d960121fc72d41e"
174,4,2,2.119,5,0,5,"69b1aee32d960121fc72d41e"
175,4,4,1.088,5,1,4,"69b1aee32d960121fc72d41e"
176,4,3,4.306,5,0,5,"69b1aee32d960121fc72d41e"
177,4,7,3.151,5,0,5,"69b1aee32d960121fc72d41e"
178,4,6,2.165,5,1,6,"69b1aee32d960121fc72d41e"
179,4,3,0.9,5,0,5,"69b1aee32d960121fc72d41e"
180,4,6,2.822,5,0,5,"69b1aee32d960121fc72d41e"
181,4,8,1.818,5,1,8,"69b1aee32d960121fc72d41e"
182,4,8,2.543,5,1,8,"69b1aee32d960121fc72d41e"
183,4,7,2.388,5,0,5,"69b1aee32d960121fc72d41e"
184,4,4,3.47,5,1,4,"69b1aee32d960121fc72d41e"
185,4,6,1.71,5,0,5,"69b1aee32d960121fc72d41e"
186,4,3,2.828,5,1,3,"69b1aee32d960121fc72d41e"
187,4,2,3.887,5,0,5,"69b1aee32d960121fc72d41e"
188,4,7,4.272,5,0,5,"69b1aee32d960121fc72d41e"
189,4,4,5.677,5,0,5,"69b1aee32d960121fc72d41e"
190,4,2,4.805,5,0,5,"69b1aee32d960121fc72d41e"
191,4,8,3.318,5,0,5,"69b1aee32d960121fc72d41e"
192,4,2,1.425,5,0,5,"69b1aee32d960121fc72d41e"
193,4,7,2.027,5,0,5,"69b1aee32d960121fc72d41e"
194,4,6,3.088,5,1,6,"69b1aee32d960121fc72d41e"
195,4,4,1.932,5,1,4,"69b1aee32d960121fc72d41e"
196,4,2,1.568,5,1,2,"69b1aee32d960121fc72d41e"
197,4,8,1.697,5,0,5,"69b1aee32d960121fc72d41e"
198,4,4,3.773,5,0,5,"69b1aee32d960121fc72d41e"
199,4,3,4.019,5,1,3,"69b1aee32d960121fc72d41e"
200,4,3,2.348,5,0,5,"69b1aee32d960121fc72d41e"
201,4,7,1.868,5,1,7,"69b1aee32d960121fc72d41e"
202,4,8,2.392,5,1,8,"69b1aee32d960121fc72d41e"
203,4,6,1.803,5,1,6,"69b1aee32d960121fc72d41e"
204,4,6,0.97,5,0,5,"69b1aee32d960121fc72d41e"
205,4,4,2.986,5,0,5,"69b1aee32d960121fc72d41e"
206,4,3,1.942,5,0,5,"69b1aee32d960121fc72d41e"
207,4,4,0.772,5,1,4,"69b1aee32d960121fc72d41e"
208,4,8,0.986,5,1,8,"69b1aee32d960121fc72d41e"
209,4,7,2.118,5,0,5,"69b1aee32d960121fc72d41e"
210,4,3,2.91,5,0,5,"69b1aee32d960121fc72d41e"
211,4,3,3.195,5,0,5,"69b1aee32d960121fc72d41e"
212,4,6,4.578,5,0,5,"69b1aee32d960121fc72d41e"
213,4,7,3.298,5,0,5,"69b1aee32d960121fc72d41e"
214,4,7,1.832,5,1,7,"69b1aee32d960121fc72d41e"
215,4,2,3.669,5,0,5,"69b1aee32d960121fc72d41e"
216,4,2,3.075,5,0,5,"69b1aee32d960121fc72d41e"
217,4,3,2.329,5,0,5,"69b1aee32d960121fc72d41e"
218,4,8,5.346,5,0,5,"69b1aee32d960121fc72d41e"
219,4,8,3.922,5,1,8,"69b1aee32d960121fc72d41e"
220,4,2,3.295,5,0,5,"69b1aee32d960121fc72d41e"
221,4,6,5.834,5,0,5,"69b1aee32d960121fc72d41e"
222,4,4,2.582,5,0,5,"69b1aee32d960121fc72d41e"
223,4,6,6.534,5,1,6,"69b1aee32d960121fc72d41e"
224,4,6,3.307,5,0,5,"69b1aee32d960121fc72d41e"
225,4,2,3.643,5,0,5,"69b1aee32d960121fc72d41e"
226,4,6,4.271,5,1,6,"69b1aee32d960121fc72d41e"
227,4,7,4.929,5,0,5,"69b1aee32d960121fc72d41e"
228,4,4,2.177,5,0,5,"69b1aee32d960121fc72d41e"
229,4,3,2.646,5,0,5,"69b1aee32d960121fc72d41e"
230,4,4,3.588,5,0,5,"69b1aee32d960121fc72d41e"
231,4,8,5.536,5,0,5,"69b1aee32d960121fc72d41e"
232,4,7,4.995,5,0,5,"69b1aee32d960121fc72d41e"
233,4,3,2.273,5,0,5,"69b1aee32d960121fc72d41e"
234,4,8,2.709,5,0,5,"69b1aee32d960121fc72d41e"
235,4,6,3.367,5,1,6,"69b1aee32d960121fc72d41e"
236,4,4,4.569,5,1,4,"69b1aee32d960121fc72d41e"
237,4,3,3.699,5,0,5,"69b1aee32d960121fc72d41e"
238,4,7,4.935,5,0,5,"69b1aee32d960121fc72d41e"
239,4,2,1.76,5,0,5,"69b1aee32d960121fc72d41e"
240,4,8,2.454,5,1,8,"69b1aee32d960121fc72d41e"
241,4,3,1.304,5,0,5,"69b1aee32d960121fc72d41e"
242,4,7,4.407,5,0,5,"69b1aee32d960121fc72d41e"
243,4,8,2.547,5,1,8,"69b1aee32d960121fc72d41e"
244,4,7,1.288,5,0,5,"69b1aee32d960121fc72d41e"
245,4,2,1.265,5,0,5,"69b1aee32d960121fc72d41e"
246,4,6,1.682,5,0,5,"69b1aee32d960121fc72d41e"
247,4,8,1.377,5,0,5,"69b1aee32d960121fc72d41e"
248,4,2,1.93,5,0,5,"69b1aee32d960121fc72d41e"
249,4,8,1.911,5,0,5,"69b1aee32d960121fc72d41e"
250,4,4,3.747,5,1,4,"69b1aee32d960121fc72d41e"
251,4,3,2.331,5,0,5,"69b1aee32d960121fc72d41e"
252,4,3,2.54,5,0,5,"69b1aee32d960121fc72d41e"
253,4,4,1.85,5,0,5,"69b1aee32d960121fc72d41e"
254,4,7,1.521,5,1,7,"69b1aee32d960121fc72d41e"
255,4,4,1.52,5,0,5,"69b1aee32d960121fc72d41e"
256,4,6,4.434,5,0,5,"69b1aee32d960121fc72d41e"
257,4,6,3.172,5,1,6,"69b1aee32d960121fc72d41e"
258,9,6,2.293,5,0,5,"69d2b8672541083658fc0f45"
259,9,2,1.392,5,0,5,"69d2b8672541083658fc0f45"
260,9,4,1.719,5,0,5,"69d2b8672541083658fc0f45"
261,9,8,2.202,5,1,8,"69d2b8672541083658fc0f45"
262,9,2,2.774,5,0,5,"69d2b8672541083658fc0f45"
263,9,7,1.811,5,0,5,"69d2b8672541083658fc0f45"
264,9,6,1.82,5,0,5,"69d2b8672541083658fc0f45"
265,9,6,0.934,5,0,5,"69d2b8672541083658fc0f45"
266,9,3,2.361,5,0,5,"69d2b8672541083658fc0f45"
267,9,8,1.231,5,1,8,"69d2b8672541083658fc0f45"
268,9,8,1.736,5,1,8,"69d2b8672541083658fc0f45"
269,9,4,1.975,5,1,4,"69d2b8672541083658fc0f45"
270,9,4,2.121,5,1,4,"69d2b8672541083658fc0f45"
271,9,7,0.827,5,0,5,"69d2b8672541083658fc0f45"
272,9,3,2.923,5,0,5,"69d2b8672541083658fc0f45"
273,9,2,1.645,5,1,2,"69d2b8672541083658fc0f45"
274,9,3,1.745,5,1,3,"69d2b8672541083658fc0f45"
275,9,7,3.129,5,0,5,"69d2b8672541083658fc0f45"
276,9,3,2.823,5,1,3,"69d2b8672541083658fc0f45"
277,9,6,2.849,5,0,5,"69d2b8672541083658fc0f45"
278,9,6,2.86,5,1,6,"69d2b8672541083658fc0f45"
279,9,6,2.715,5,0,5,"69d2b8672541083658fc0f45"
280,9,8,1.561,5,1,8,"69d2b8672541083658fc0f45"
281,9,4,3.414,5,0,5,"69d2b8672541083658fc0f45"
282,9,2,2.1,5,0,5,"69d2b8672541083658fc0f45"
283,9,3,3.48,5,1,3,"69d2b8672541083658fc0f45"
284,9,2,1.99,5,0,5,"69d2b8672541083658fc0f45"
285,9,4,2.644,5,1,4,"69d2b8672541083658fc0f45"
286,9,8,1.536,5,0,5,"69d2b8672541083658fc0f45"
287,9,8,1.501,5,1,8,"69d2b8672541083658fc0f45"
288,9,7,3.03,5,0,5,"69d2b8672541083658fc0f45"
289,9,4,1.439,5,0,5,"69d2b8672541083658fc0f45"
290,9,2,1.661,5,0,5,"69d2b8672541083658fc0f45"
291,9,7,1.644,5,1,7,"69d2b8672541083658fc0f45"
292,9,7,2.088,5,0,5,"69d2b8672541083658fc0f45"
293,9,3,1.724,5,1,3,"69d2b8672541083658fc0f45"
294,9,6,0.997,5,1,6,"69d2b8672541083658fc0f45"
295,9,4,2.19,5,1,4,"69d2b8672541083658fc0f45"
296,9,6,0.98,5,1,6,"69d2b8672541083658fc0f45"
297,9,2,2.625,5,1,2,"69d2b8672541083658fc0f45"
298,9,7,2.111,5,1,7,"69d2b8672541083658fc0f45"
299,9,4,1.749,5,1,4,"69d2b8672541083658fc0f45"
300,9,3,1.242,5,0,5,"69d2b8672541083658fc0f45"
301,9,7,0.984,5,0,5,"69d2b8672541083658fc0f45"
302,9,8,1.048,5,1,8,"69d2b8672541083658fc0f45"
303,9,3,1.039,5,1,3,"69d2b8672541083658fc0f45"
304,9,2,1.21,5,0,5,"69d2b8672541083658fc0f45"
305,9,6,0.923,5,0,5,"69d2b8672541083658fc0f45"
306,9,4,2.279,5,1,4,"69d2b8672541083658fc0f45"
307,9,8,3.165,5,1,8,"69d2b8672541083658fc0f45"
308,9,2,1.643,5,1,2,"69d2b8672541083658fc0f45"
309,9,7,3.306,5,1,7,"69d2b8672541083658fc0f45"
310,9,3,2.639,5,1,3,"69d2b8672541083658fc0f45"
311,9,4,1.639,5,0,5,"69d2b8672541083658fc0f45"
312,9,7,1.555,5,1,7,"69d2b8672541083658fc0f45"
313,9,3,1.864,5,0,5,"69d2b8672541083658fc0f45"
314,9,3,1.208,5,0,5,"69d2b8672541083658fc0f45"
315,9,4,1.685,5,1,4,"69d2b8672541083658fc0f45"
316,9,3,1.108,5,1,3,"69d2b8672541083658fc0f45"
317,9,7,1.414,5,0,5,"69d2b8672541083658fc0f45"
318,9,4,1.226,5,0,5,"69d2b8672541083658fc0f45"
319,9,7,2.173,5,1,7,"69d2b8672541083658fc0f45"
320,9,8,0.619,5,0,5,"69d2b8672541083658fc0f45"
321,9,6,0.864,5,0,5,"69d2b8672541083658fc0f45"
322,9,6,0.892,5,0,5,"69d2b8672541083658fc0f45"
323,9,2,2.248,5,1,2,"69d2b8672541083658fc0f45"
324,9,2,1.732,5,1,2,"69d2b8672541083658fc0f45"
325,9,2,1.359,5,0,5,"69d2b8672541083658fc0f45"
326,9,8,2.638,5,1,8,"69d2b8672541083658fc0f45"
327,9,6,1.16,5,0,5,"69d2b8672541083658fc0f45"
328,9,3,1.931,5,0,5,"69d2b8672541083658fc0f45"
329,9,2,1.686,5,0,5,"69d2b8672541083658fc0f45"
330,9,4,0.916,5,0,5,"69d2b8672541083658fc0f45"
331,9,4,1.488,5,0,5,"69d2b8672541083658fc0f45"
332,9,7,1.624,5,1,7,"69d2b8672541083658fc0f45"
333,9,3,2.307,5,0,5,"69d2b8672541083658fc0f45"
334,9,6,1.638,5,1,6,"69d2b8672541083658fc0f45"
335,9,8,1.315,5,1,8,"69d2b8672541083658fc0f45"
336,9,2,1.736,5,1,2,"69d2b8672541083658fc0f45"
337,9,6,1.762,5,0,5,"69d2b8672541083658fc0f45"
338,9,8,1.52,5,1,8,"69d2b8672541083658fc0f45"
339,9,2,1.764,5,1,2,"69d2b8672541083658fc0f45"
340,9,7,1.566,5,0,5,"69d2b8672541083658fc0f45"
341,9,8,0.935,5,1,8,"69d2b8672541083658fc0f45"
342,9,4,2.215,5,1,4,"69d2b8672541083658fc0f45"
343,9,6,1.774,5,0,5,"69d2b8672541083658fc0f45"
344,9,3,1.752,5,0,5,"69d2b8672541083658fc0f45"
345,9,3,1.673,5,1,3,"69d2b8672541083658fc0f45"
346,9,8,3.82,5,0,5,"69d2b8672541083658fc0f45"
347,9,6,3.002,5,0,5,"69d2b8672541083658fc0f45"
348,9,7,2.61,5,1,7,"69d2b8672541083658fc0f45"
349,9,8,2.488,5,1,8,"69d2b8672541083658fc0f45"
350,9,2,2.229,5,0,5,"69d2b8672541083658fc0f45"
351,9,3,1.74,5,0,5,"69d2b8672541083658fc0f45"
352,9,4,1.768,5,1,4,"69d2b8672541083658fc0f45"
353,9,7,1.823,5,1,7,"69d2b8672541083658fc0f45"
354,9,6,2.033,5,0,5,"69d2b8672541083658fc0f45"
355,9,6,1.683,5,1,6,"69d2b8672541083658fc0f45"
356,9,7,1.65,5,1,7,"69d2b8672541083658fc0f45"
357,9,4,2.525,5,0,5,"69d2b8672541083658fc0f45"
358,9,8,1.724,5,1,8,"69d2b8672541083658fc0f45"
359,9,2,1.969,5,0,5,"69d2b8672541083658fc0f45"
360,9,3,1.758,5,1,3,"69d2b8672541083658fc0f45"
361,9,2,1.763,5,0,5,"69d2b8672541083658fc0f45"
362,9,6,1.47,5,0,5,"69d2b8672541083658fc0f45"
363,9,2,3.109,5,0,5,"69d2b8672541083658fc0f45"
364,9,3,2.601,5,1,3,"69d2b8672541083658fc0f45"
365,9,7,1.644,5,0,5,"69d2b8672541083658fc0f45"
366,9,7,3.341,5,0,5,"69d2b8672541083658fc0f45"
367,9,7,1.999,5,0,5,"69d2b8672541083658fc0f45"
368,9,8,1.372,5,0,5,"69d2b8672541083658fc0f45"
369,9,6,0.571,5,1,6,"69d2b8672541083658fc0f45"
370,9,4,0.651,5,1,4,"69d2b8672541083658fc0f45"
371,9,3,0.437,5,0,5,"69d2b8672541083658fc0f45"
372,9,6,0.906,5,0,5,"69d2b8672541083658fc0f45"
373,9,4,0.801,5,1,4,"69d2b8672541083658fc0f45"
374,9,8,0.486,5,1,8,"69d2b8672541083658fc0f45"
375,9,2,1.205,5,0,5,"69d2b8672541083658fc0f45"
376,9,4,1.583,5,1,4,"69d2b8672541083658fc0f45"
377,9,3,1.185,5,0,5,"69d2b8672541083658fc0f45"
378,9,8,0.89,5,0,5,"69d2b8672541083658fc0f45"
379,9,7,0.615,5,1,7,"69d2b8672541083658fc0f45"
380,9,3,0.807,5,1,3,"69d2b8672541083658fc0f45"
381,9,8,0.888,5,1,8,"69d2b8672541083658fc0f45"
382,9,6,0.742,5,0,5,"69d2b8672541083658fc0f45"
383,9,4,0.646,5,1,4,"69d2b8672541083658fc0f45"
384,9,8,0.549,5,1,8,"69d2b8672541083658fc0f45"
385,9,8,1.306,5,1,8,"69d2b8672541083658fc0f45"
386,9,6,0.591,5,0,5,"69d2b8672541083658fc0f45"
387,9,4,1.964,5,0,5,"69d2b8672541083658fc0f45"
388,9,7,0.589,5,1,7,"69d2b8672541083658fc0f45"
389,9,6,0.722,5,1,6,"69d2b8672541083658fc0f45"
390,9,2,1.438,5,1,2,"69d2b8672541083658fc0f45"
391,9,3,0.479,5,1,3,"69d2b8672541083658fc0f45"
392,9,7,0.934,5,1,7,"69d2b8672541083658fc0f45"
393,9,2,1.867,5,1,2,"69d2b8672541083658fc0f45"
394,9,3,1.147,5,0,5,"69d2b8672541083658fc0f45"
395,9,4,1.45,5,0,5,"69d2b8672541083658fc0f45"
396,10,2,1.327,5,1,2,"69d454217ba1e1dde3db1187"
397,10,6,1.511,5,0,5,"69d454217ba1e1dde3db1187"
398,10,4,2.744,5,0,5,"69d454217ba1e1dde3db1187"
399,10,3,2.729,5,0,5,"69d454217ba1e1dde3db1187"
400,10,4,2.571,5,0,5,"69d454217ba1e1dde3db1187"
401,10,7,2.598,5,0,5,"69d454217ba1e1dde3db1187"
402,10,2,3.317,5,1,2,"69d454217ba1e1dde3db1187"
403,10,3,2.49,5,1,3,"69d454217ba1e1dde3db1187"
404,10,8,1.638,5,0,5,"69d454217ba1e1dde3db1187"
405,10,7,2.244,5,0,5,"69d454217ba1e1dde3db1187"
406,10,7,2.444,5,0,5,"69d454217ba1e1dde3db1187"
407,10,3,1.225,5,1,3,"69d454217ba1e1dde3db1187"
408,10,8,4.041,5,1,8,"69d454217ba1e1dde3db1187"
409,10,6,2.342,5,1,6,"69d454217ba1e1dde3db1187"
410,10,6,3.06,5,0,5,"69d454217ba1e1dde3db1187"
