"","trial","subject","offer_A","offer_B","is_choice_A","choice"
"43",43,"698c6d3d083ae26c88d529bb",2,5,0,5
"44",44,"698c6d3d083ae26c88d529bb",4,5,0,5
"45",45,"698c6d3d083ae26c88d529bb",7,5,1,7
"46",46,"698c6d3d083ae26c88d529bb",2,5,0,5
"47",47,"698c6d3d083ae26c88d529bb",6,5,0,5
"48",48,"698c6d3d083ae26c88d529bb",4,5,1,4
"49",49,"698c6d3d083ae26c88d529bb",3,5,1,3
"50",50,"698c6d3d083ae26c88d529bb",8,5,1,8
"51",51,"698c6d3d083ae26c88d529bb",6,5,1,6
"52",52,"698c6d3d083ae26c88d529bb",2,5,1,2
"53",53,"698c6d3d083ae26c88d529bb",8,5,1,8
"54",54,"698c6d3d083ae26c88d529bb",6,5,1,6
"55",55,"698c6d3d083ae26c88d529bb",2,5,0,5
"56",56,"698c6d3d083ae26c88d529bb",8,5,1,8
"57",57,"698c6d3d083ae26c88d529bb",4,5,1,4
"58",58,"698c6d3d083ae26c88d529bb",6,5,1,6
"59",59,"698c6d3d083ae26c88d529bb",2,5,0,5
"60",60,"698c6d3d083ae26c88d529bb",4,5,0,5
"61",61,"698c6d3d083ae26c88d529bb",7,5,1,7
"62",62,"698c6d3d083ae26c88d529bb",8,5,1,8
"63",63,"698c6d3d083ae26c88d529bb",6,5,0,5
"64",64,"698c6d3d083ae26c88d529bb",4,5,0,5
"65",65,"698c6d3d083ae26c88d529bb",3,5,1,3
"66",66,"698c6d3d083ae26c88d529bb",3,5,0,5
"67",67,"698c6d3d083ae26c88d529bb",2,5,1,2
"68",68,"698c6d3d083ae26c88d529bb",7,5,1,7
"69",69,"698c6d3d083ae26c88d529bb",3,5,0,5
"70",70,"698c6d3d083ae26c88d529bb",6,5,0,5
"71",71,"698c6d3d083ae26c88d529bb",2,5,0,5
"72",72,"698c6d3d083ae26c88d529bb",3,5,1,3
"73",73,"698c6d3d083ae26c88d529bb",8,5,1,8
"74",74,"698c6d3d083ae26c88d529bb",4,5,0,5
"75",75,"698c6d3d083ae26c88d529bb",8,5,1,8
"76",76,"698c6d3d083ae26c88d529bb",4,5,0,5
"77",77,"698c6d3d083ae26c88d529bb",7,5,1,7
"78",78,"698c6d3d083ae26c88d529bb",6,5,0,5
"79",79,"698c6d3d083ae26c88d529bb",6,5,1,6
"80",80,"698c6d3d083ae26c88d529bb",2,5,0,5
"81",81,"698c6d3d083ae26c88d529bb",3,5,0,5
"82",82,"698c6d3d083ae26c88d529bb",8,5,1,8
"83",83,"698c6d3d083ae26c88d529bb",3,5,1,3
"84",84,"698c6d3d083ae26c88d529bb",7,5,1,7
"85",85,"698c6d3d083ae26c88d529bb",2,5,0,5
"86",86,"698c6d3d083ae26c88d529bb",7,5,1,7
"87",87,"698c6d3d083ae26c88d529bb",7,5,1,7
"88",88,"698c6d3d083ae26c88d529bb",6,5,1,6
"89",89,"698c6d3d083ae26c88d529bb",7,5,1,7
"90",90,"698c6d3d083ae26c88d529bb",2,5,0,5
"91",91,"698c6d3d083ae26c88d529bb",8,5,1,8
"92",92,"698c6d3d083ae26c88d529bb",6,5,0,5
"93",93,"698c6d3d083ae26c88d529bb",3,5,0,5
"94",94,"698c6d3d083ae26c88d529bb",6,5,1,6
"95",95,"698c6d3d083ae26c88d529bb",4,5,1,4
"96",96,"698c6d3d083ae26c88d529bb",7,5,1,7
"97",97,"698c6d3d083ae26c88d529bb",4,5,0,5
"98",98,"698c6d3d083ae26c88d529bb",3,5,1,3
"99",99,"698c6d3d083ae26c88d529bb",8,5,1,8
"100",100,"698c6d3d083ae26c88d529bb",3,5,0,5
"101",101,"698c6d3d083ae26c88d529bb",8,5,1,8
"102",102,"698c6d3d083ae26c88d529bb",2,5,0,5
"103",103,"698c6d3d083ae26c88d529bb",4,5,0,5
"104",104,"698c6d3d083ae26c88d529bb",3,5,0,5
"105",105,"698c6d3d083ae26c88d529bb",6,5,0,5
"106",106,"698c6d3d083ae26c88d529bb",8,5,1,8
"107",107,"698c6d3d083ae26c88d529bb",4,5,1,4
"108",108,"698c6d3d083ae26c88d529bb",7,5,1,7
"109",109,"698c6d3d083ae26c88d529bb",3,5,0,5
"110",110,"698c6d3d083ae26c88d529bb",7,5,0,5
"111",111,"698c6d3d083ae26c88d529bb",4,5,0,5
"112",112,"698c6d3d083ae26c88d529bb",6,5,1,6
"113",113,"698c6d3d083ae26c88d529bb",7,5,1,7
"114",114,"698c6d3d083ae26c88d529bb",3,5,1,3
"115",115,"698c6d3d083ae26c88d529bb",4,5,1,4
"116",116,"698c6d3d083ae26c88d529bb",8,5,1,8
"117",117,"698c6d3d083ae26c88d529bb",2,5,0,5
"118",118,"698c6d3d083ae26c88d529bb",2,5,0,5
"119",119,"698c6d3d083ae26c88d529bb",8,5,1,8
"120",120,"698c6d3d083ae26c88d529bb",6,5,0,5
"121",121,"69b1aee32d960121fc72d41e",2,5,0,5
"122",122,"69b1aee32d960121fc72d41e",7,5,0,5
"123",123,"69b1aee32d960121fc72d41e",3,5,0,5
"124",124,"69b1aee32d960121fc72d41e",7,5,1,7
"125",125,"69b1aee32d960121fc72d41e",4,5,0,5
"126",126,"69b1aee32d960121fc72d41e",3,5,0,5
"127",127,"69b1aee32d960121fc72d41e",4,5,1,4
"128",128,"69b1aee32d960121fc72d41e",3,5,0,5
"129",129,"69b1aee32d960121fc72d41e",2,5,0,5
"130",130,"69b1aee32d960121fc72d41e",7,5,0,5
"131",131,"69b1aee32d960121fc72d41e",6,5,0,5
"132",132,"69b1aee32d960121fc72d41e",8,5,1,8
"133",133,"69b1aee32d960121fc72d41e",2,5,0,5
"134",134,"69b1aee32d960121fc72d41e",8,5,1,8
"135",135,"69b1aee32d960121fc72d41e",6,5,0,5
"136",136,"69b1aee32d960121fc72d41e",4,5,0,5
"137",137,"69b1aee32d960121fc72d41e",6,5,0,5
"138",138,"69b1aee32d960121fc72d41e",8,5,0,5
"139",139,"69b1aee32d960121fc72d41e",2,5,0,5
"140",140,"69b1aee32d960121fc72d41e",8,5,1,8
"141",141,"69b1aee32d960121fc72d41e",7,5,0,5
"142",142,"69b1aee32d960121fc72d41e",6,5,0,5
"143",143,"69b1aee32d960121fc72d41e",7,5,0,5
"144",144,"69b1aee32d960121fc72d41e",4,5,0,5
"145",145,"69b1aee32d960121fc72d41e",2,5,0,5
"146",146,"69b1aee32d960121fc72d41e",2,5,0,5
"147",147,"69b1aee32d960121fc72d41e",4,5,1,4
"148",148,"69b1aee32d960121fc72d41e",3,5,0,5
"149",149,"69b1aee32d960121fc72d41e",6,5,0,5
"150",150,"69b1aee32d960121fc72d41e",6,5,1,6
"151",151,"69b1aee32d960121fc72d41e",3,5,0,5
"152",152,"69b1aee32d960121fc72d41e",8,5,1,8
"153",153,"69b1aee32d960121fc72d41e",8,5,1,8
"154",154,"69b1aee32d960121fc72d41e",4,5,1,4
"155",155,"69b1aee32d960121fc72d41e",3,5,0,5
"156",156,"69b1aee32d960121fc72d41e",7,5,1,7
"157",157,"69b1aee32d960121fc72d41e",6,5,1,6
"158",158,"69b1aee32d960121fc72d41e",7,5,0,5
"159",159,"69b1aee32d960121fc72d41e",2,5,0,5
"160",160,"69b1aee32d960121fc72d41e",2,5,0,5
"161",161,"69b1aee32d960121fc72d41e",3,5,0,5
"162",162,"69b1aee32d960121fc72d41e",4,5,0,5
"163",163,"69b1aee32d960121fc72d41e",3,5,0,5
"164",164,"69b1aee32d960121fc72d41e",7,5,1,7
"165",165,"69b1aee32d960121fc72d41e",8,5,1,8
"166",166,"69b1aee32d960121fc72d41e",3,5,0,5
"167",167,"69b1aee32d960121fc72d41e",4,5,0,5
"168",168,"69b1aee32d960121fc72d41e",7,5,0,5
"169",169,"69b1aee32d960121fc72d41e",4,5,0,5
"170",170,"69b1aee32d960121fc72d41e",2,5,0,5
"171",171,"69b1aee32d960121fc72d41e",6,5,1,6
"172",172,"69b1aee32d960121fc72d41e",8,5,1,8
"173",173,"69b1aee32d960121fc72d41e",6,5,1,6
"174",174,"69b1aee32d960121fc72d41e",2,5,0,5
"175",175,"69b1aee32d960121fc72d41e",4,5,0,5
"176",176,"69b1aee32d960121fc72d41e",3,5,0,5
"177",177,"69b1aee32d960121fc72d41e",7,5,0,5
"178",178,"69b1aee32d960121fc72d41e",6,5,0,5
"179",179,"69b1aee32d960121fc72d41e",3,5,0,5
"180",180,"69b1aee32d960121fc72d41e",6,5,1,6
"181",181,"69b1aee32d960121fc72d41e",8,5,1,8
"182",182,"69b1aee32d960121fc72d41e",8,5,1,8
"183",183,"69b1aee32d960121fc72d41e",7,5,0,5
"184",184,"69b1aee32d960121fc72d41e",4,5,0,5
"185",185,"69b1aee32d960121fc72d41e",6,5,1,6
"186",186,"69b1aee32d960121fc72d41e",3,5,0,5
"187",187,"69b1aee32d960121fc72d41e",2,5,1,2
"188",188,"69b1aee32d960121fc72d41e",7,5,1,7
"189",189,"69b1aee32d960121fc72d41e",4,5,1,4
"190",190,"69b1aee32d960121fc72d41e",2,5,0,5
"191",191,"69b1aee32d960121fc72d41e",8,5,1,8
"192",192,"69b1aee32d960121fc72d41e",2,5,0,5
"193",193,"69b1aee32d960121fc72d41e",7,5,1,7
"194",194,"69b1aee32d960121fc72d41e",6,5,0,5
"195",195,"69b1aee32d960121fc72d41e",4,5,0,5
"196",196,"69b1aee32d960121fc72d41e",2,5,0,5
"197",197,"69b1aee32d960121fc72d41e",8,5,1,8
"198",198,"69b1aee32d960121fc72d41e",4,5,1,4
"199",199,"69b1aee32d960121fc72d41e",3,5,1,3
"200",200,"69b1aee32d960121fc72d41e",3,5,0,5
"201",201,"69b1aee32d960121fc72d41e",7,5,0,5
"202",202,"69b1aee32d960121fc72d41e",8,5,0,5
"203",203,"69b1aee32d960121fc72d41e",6,5,0,5
"204",204,"69b1aee32d960121fc72d41e",6,5,0,5
"205",205,"69b1aee32d960121fc72d41e",4,5,0,5
"206",206,"69b1aee32d960121fc72d41e",3,5,0,5
"207",207,"69b1aee32d960121fc72d41e",4,5,0,5
"208",208,"69b1aee32d960121fc72d41e",8,5,0,5
"209",209,"69b1aee32d960121fc72d41e",7,5,1,7
"210",210,"69b1aee32d960121fc72d41e",3,5,0,5
"211",211,"69b1aee32d960121fc72d41e",3,5,0,5
"212",212,"69b1aee32d960121fc72d41e",6,5,1,6
"213",213,"69b1aee32d960121fc72d41e",7,5,0,5
"214",214,"69b1aee32d960121fc72d41e",7,5,1,7
"215",215,"69b1aee32d960121fc72d41e",2,5,0,5
"216",216,"69b1aee32d960121fc72d41e",2,5,0,5
"217",217,"69b1aee32d960121fc72d41e",3,5,0,5
"218",218,"69b1aee32d960121fc72d41e",8,5,0,5
"219",219,"69b1aee32d960121fc72d41e",8,5,1,8
"220",220,"69b1aee32d960121fc72d41e",2,5,0,5
"221",221,"69b1aee32d960121fc72d41e",6,5,0,5
"222",222,"69b1aee32d960121fc72d41e",4,5,1,4
"223",223,"69b1aee32d960121fc72d41e",6,5,0,5
"224",224,"69b1aee32d960121fc72d41e",6,5,0,5
"225",225,"69b1aee32d960121fc72d41e",2,5,0,5
"226",226,"69b1aee32d960121fc72d41e",6,5,1,6
"227",227,"69b1aee32d960121fc72d41e",7,5,1,7
"228",228,"69b1aee32d960121fc72d41e",4,5,0,5
"229",229,"69b1aee32d960121fc72d41e",3,5,1,3
"230",230,"69b1aee32d960121fc72d41e",4,5,0,5
"231",231,"69b1aee32d960121fc72d41e",8,5,1,8
"232",232,"69b1aee32d960121fc72d41e",7,5,1,7
"233",233,"69b1aee32d960121fc72d41e",3,5,0,5
"234",234,"69b1aee32d960121fc72d41e",8,5,1,8
"235",235,"69b1aee32d960121fc72d41e",6,5,1,6
"236",236,"69b1aee32d960121fc72d41e",4,5,0,5
"237",237,"69b1aee32d960121fc72d41e",3,5,0,5
"238",238,"69b1aee32d960121fc72d41e",7,5,0,5
"239",239,"69b1aee32d960121fc72d41e",2,5,0,5
"240",240,"69b1aee32d960121fc72d41e",8,5,0,5
"241",241,"69b1aee32d960121fc72d41e",3,5,0,5
"242",242,"69b1aee32d960121fc72d41e",7,5,0,5
"243",243,"69b1aee32d960121fc72d41e",8,5,1,8
"244",244,"69b1aee32d960121fc72d41e",7,5,1,7
"245",245,"69b1aee32d960121fc72d41e",2,5,1,2
"246",246,"69b1aee32d960121fc72d41e",6,5,1,6
"247",247,"69b1aee32d960121fc72d41e",8,5,1,8
"248",248,"69b1aee32d960121fc72d41e",2,5,0,5
"249",249,"69b1aee32d960121fc72d41e",8,5,1,8
"250",250,"69b1aee32d960121fc72d41e",4,5,1,4
"251",251,"69b1aee32d960121fc72d41e",3,5,0,5
"252",252,"69b1aee32d960121fc72d41e",3,5,1,3
"253",253,"69b1aee32d960121fc72d41e",4,5,0,5
"254",254,"69b1aee32d960121fc72d41e",7,5,1,7
"255",255,"69b1aee32d960121fc72d41e",4,5,0,5
"256",256,"69b1aee32d960121fc72d41e",6,5,0,5
"257",257,"69b1aee32d960121fc72d41e",6,5,0,5
"258",258,"69d2b8672541083658fc0f45",6,5,1,6
"259",259,"69d2b8672541083658fc0f45",2,5,0,5
"260",260,"69d2b8672541083658fc0f45",4,5,0,5
"261",261,"69d2b8672541083658fc0f45",8,5,1,8
"262",262,"69d2b8672541083658fc0f45",2,5,0,5
"263",263,"69d2b8672541083658fc0f45",7,5,0,5
"264",264,"69d2b8672541083658fc0f45",6,5,1,6
"265",265,"69d2b8672541083658fc0f45",6,5,1,6
"266",266,"69d2b8672541083658fc0f45",3,5,0,5
"267",267,"69d2b8672541083658fc0f45",8,5,1,8
"268",268,"69d2b8672541083658fc0f45",8,5,1,8
"269",269,"69d2b8672541083658fc0f45",4,5,1,4
"270",270,"69d2b8672541083658fc0f45",4,5,0,5
"271",271,"69d2b8672541083658fc0f45",7,5,1,7
"272",272,"69d2b8672541083658fc0f45",3,5,0,5
"273",273,"69d2b8672541083658fc0f45",2,5,0,5
"274",274,"69d2b8672541083658fc0f45",3,5,0,5
"275",275,"69d2b8672541083658fc0f45",7,5,0,5
"276",276,"69d2b8672541083658fc0f45",3,5,0,5
"277",277,"69d2b8672541083658fc0f45",6,5,1,6
"278",278,"69d2b8672541083658fc0f45",6,5,1,6
"279",279,"69d2b8672541083658fc0f45",6,5,1,6
"280",280,"69d2b8672541083658fc0f45",8,5,1,8
"281",281,"69d2b8672541083658fc0f45",4,5,1,4
"282",282,"69d2b8672541083658fc0f45",2,5,0,5
"283",283,"69d2b8672541083658fc0f45",3,5,0,5
"284",284,"69d2b8672541083658fc0f45",2,5,0,5
"285",285,"69d2b8672541083658fc0f45",4,5,1,4
"286",286,"69d2b8672541083658fc0f45",8,5,1,8
"287",287,"69d2b8672541083658fc0f45",8,5,1,8
"288",288,"69d2b8672541083658fc0f45",7,5,0,5
"289",289,"69d2b8672541083658fc0f45",4,5,1,4
"290",290,"69d2b8672541083658fc0f45",2,5,0,5
"291",291,"69d2b8672541083658fc0f45",7,5,1,7
"292",292,"69d2b8672541083658fc0f45",7,5,1,7
"293",293,"69d2b8672541083658fc0f45",3,5,1,3
"294",294,"69d2b8672541083658fc0f45",6,5,1,6
"295",295,"69d2b8672541083658fc0f45",4,5,0,5
"296",296,"69d2b8672541083658fc0f45",6,5,1,6
"297",297,"69d2b8672541083658fc0f45",2,5,1,2
"298",298,"69d2b8672541083658fc0f45",7,5,0,5
"299",299,"69d2b8672541083658fc0f45",4,5,1,4
"300",300,"69d2b8672541083658fc0f45",3,5,0,5
"301",301,"69d2b8672541083658fc0f45",7,5,1,7
"302",302,"69d2b8672541083658fc0f45",8,5,1,8
"303",303,"69d2b8672541083658fc0f45",3,5,1,3
"304",304,"69d2b8672541083658fc0f45",2,5,0,5
"305",305,"69d2b8672541083658fc0f45",6,5,1,6
"306",306,"69d2b8672541083658fc0f45",4,5,1,4
"307",307,"69d2b8672541083658fc0f45",8,5,0,5
"308",308,"69d2b8672541083658fc0f45",2,5,0,5
"309",309,"69d2b8672541083658fc0f45",7,5,1,7
"310",310,"69d2b8672541083658fc0f45",3,5,0,5
"311",311,"69d2b8672541083658fc0f45",4,5,1,4
"312",312,"69d2b8672541083658fc0f45",7,5,1,7
"313",313,"69d2b8672541083658fc0f45",3,5,0,5
"314",314,"69d2b8672541083658fc0f45",3,5,0,5
"315",315,"69d2b8672541083658fc0f45",4,5,1,4
"316",316,"69d2b8672541083658fc0f45",3,5,0,5
"317",317,"69d2b8672541083658fc0f45",7,5,1,7
"318",318,"69d2b8672541083658fc0f45",4,5,1,4
"319",319,"69d2b8672541083658fc0f45",7,5,0,5
"320",320,"69d2b8672541083658fc0f45",8,5,1,8
"321",321,"69d2b8672541083658fc0f45",6,5,1,6
"322",322,"69d2b8672541083658fc0f45",6,5,1,6
"323",323,"69d2b8672541083658fc0f45",2,5,0,5
"324",324,"69d2b8672541083658fc0f45",2,5,0,5
"325",325,"69d2b8672541083658fc0f45",2,5,0,5
"326",326,"69d2b8672541083658fc0f45",8,5,1,8
"327",327,"69d2b8672541083658fc0f45",6,5,1,6
"328",328,"69d2b8672541083658fc0f45",3,5,0,5
"329",329,"69d2b8672541083658fc0f45",2,5,0,5
"330",330,"69d2b8672541083658fc0f45",4,5,1,4
"331",331,"69d2b8672541083658fc0f45",4,5,1,4
"332",332,"69d2b8672541083658fc0f45",7,5,1,7
"333",333,"69d2b8672541083658fc0f45",3,5,0,5
"334",334,"69d2b8672541083658fc0f45",6,5,1,6
"335",335,"69d2b8672541083658fc0f45",8,5,1,8
"336",336,"69d2b8672541083658fc0f45",2,5,0,5
"337",337,"69d2b8672541083658fc0f45",6,5,0,5
"338",338,"69d2b8672541083658fc0f45",8,5,1,8
"339",339,"69d2b8672541083658fc0f45",2,5,0,5
"340",340,"69d2b8672541083658fc0f45",7,5,1,7
"341",341,"69d2b8672541083658fc0f45",8,5,1,8
"342",342,"69d2b8672541083658fc0f45",4,5,0,5
"343",343,"69d2b8672541083658fc0f45",6,5,1,6
"344",344,"69d2b8672541083658fc0f45",3,5,0,5
"345",345,"69d2b8672541083658fc0f45",3,5,1,3
"346",346,"69d2b8672541083658fc0f45",8,5,1,8
"347",347,"69d2b8672541083658fc0f45",6,5,0,5
"348",348,"69d2b8672541083658fc0f45",7,5,0,5
"349",349,"69d2b8672541083658fc0f45",8,5,0,5
"350",350,"69d2b8672541083658fc0f45",2,5,0,5
"351",351,"69d2b8672541083658fc0f45",3,5,1,3
"352",352,"69d2b8672541083658fc0f45",4,5,0,5
"353",353,"69d2b8672541083658fc0f45",7,5,1,7
"354",354,"69d2b8672541083658fc0f45",6,5,1,6
"355",355,"69d2b8672541083658fc0f45",6,5,1,6
"356",356,"69d2b8672541083658fc0f45",7,5,1,7
"357",357,"69d2b8672541083658fc0f45",4,5,0,5
"358",358,"69d2b8672541083658fc0f45",8,5,1,8
"359",359,"69d2b8672541083658fc0f45",2,5,0,5
"360",360,"69d2b8672541083658fc0f45",3,5,1,3
"361",361,"69d2b8672541083658fc0f45",2,5,0,5
"362",362,"69d2b8672541083658fc0f45",6,5,1,6
"363",363,"69d2b8672541083658fc0f45",2,5,0,5
"364",364,"69d2b8672541083658fc0f45",3,5,0,5
"365",365,"69d2b8672541083658fc0f45",7,5,0,5
"366",366,"69d2b8672541083658fc0f45",7,5,0,5
"367",367,"69d2b8672541083658fc0f45",7,5,0,5
"368",368,"69d2b8672541083658fc0f45",8,5,0,5
"369",369,"69d2b8672541083658fc0f45",6,5,1,6
"370",370,"69d2b8672541083658fc0f45",4,5,1,4
"371",371,"69d2b8672541083658fc0f45",3,5,0,5
"372",372,"69d2b8672541083658fc0f45",6,5,0,5
"373",373,"69d2b8672541083658fc0f45",4,5,0,5
"374",374,"69d2b8672541083658fc0f45",8,5,1,8
"375",375,"69d2b8672541083658fc0f45",2,5,1,2
"376",376,"69d2b8672541083658fc0f45",4,5,0,5
"377",377,"69d2b8672541083658fc0f45",3,5,0,5
"378",378,"69d2b8672541083658fc0f45",8,5,0,5
"379",379,"69d2b8672541083658fc0f45",7,5,0,5
"380",380,"69d2b8672541083658fc0f45",3,5,0,5
"381",381,"69d2b8672541083658fc0f45",8,5,0,5
"382",382,"69d2b8672541083658fc0f45",6,5,1,6
"383",383,"69d2b8672541083658fc0f45",4,5,1,4
"384",384,"69d2b8672541083658fc0f45",8,5,1,8
"385",385,"69d2b8672541083658fc0f45",8,5,1,8
"386",386,"69d2b8672541083658fc0f45",6,5,1,6
"387",387,"69d2b8672541083658fc0f45",4,5,0,5
"388",388,"69d2b8672541083658fc0f45",7,5,0,5
"389",389,"69d2b8672541083658fc0f45",6,5,0,5
"390",390,"69d2b8672541083658fc0f45",2,5,1,2
"391",391,"69d2b8672541083658fc0f45",3,5,0,5
"392",392,"69d2b8672541083658fc0f45",7,5,1,7
"393",393,"69d2b8672541083658fc0f45",2,5,0,5
"394",394,"69d2b8672541083658fc0f45",3,5,0,5
"395",395,"69d2b8672541083658fc0f45",4,5,0,5
"396",396,"69d454217ba1e1dde3db1187",2,5,0,5
"397",397,"69d454217ba1e1dde3db1187",6,5,1,6
"398",398,"69d454217ba1e1dde3db1187",4,5,0,5
"399",399,"69d454217ba1e1dde3db1187",3,5,0,5
"400",400,"69d454217ba1e1dde3db1187",4,5,0,5
"401",401,"69d454217ba1e1dde3db1187",7,5,1,7
"402",402,"69d454217ba1e1dde3db1187",2,5,0,5
"403",403,"69d454217ba1e1dde3db1187",3,5,0,5
"404",404,"69d454217ba1e1dde3db1187",8,5,1,8
"405",405,"69d454217ba1e1dde3db1187",7,5,0,5
"406",406,"69d454217ba1e1dde3db1187",7,5,1,7
"407",407,"69d454217ba1e1dde3db1187",3,5,0,5
"408",408,"69d454217ba1e1dde3db1187",8,5,1,8
"409",409,"69d454217ba1e1dde3db1187",6,5,1,6
"410",410,"69d454217ba1e1dde3db1187",6,5,0,5
"411",411,"69d454217ba1e1dde3db1187",2,5,0,5
"412",412,"69d454217ba1e1dde3db1187",8,5,1,8
"413",413,"69d454217ba1e1dde3db1187",2,5,0,5
"414",414,"69d454217ba1e1dde3db1187",7,5,1,7
"415",415,"69d454217ba1e1dde3db1187",6,5,0,5
"416",416,"69d454217ba1e1dde3db1187",4,5,1,4
"417",417,"69d454217ba1e1dde3db1187",3,5,1,3
"418",418,"69d454217ba1e1dde3db1187",3,5,0,5
"419",419,"69d454217ba1e1dde3db1187",7,5,1,7
"420",420,"69d454217ba1e1dde3db1187",6,5,0,5
"421",421,"69d454217ba1e1dde3db1187",4,5,0,5
"422",422,"69d454217ba1e1dde3db1187",8,5,1,8
"423",423,"69d454217ba1e1dde3db1187",8,5,1,8
"424",424,"69d454217ba1e1dde3db1187",7,5,0,5
"425",425,"69d454217ba1e1dde3db1187",3,5,1,3
"426",426,"69d454217ba1e1dde3db1187",2,5,0,5
"427",427,"69d454217ba1e1dde3db1187",6,5,1,6
"428",428,"69d454217ba1e1dde3db1187",4,5,0,5
"429",429,"69d454217ba1e1dde3db1187",3,5,0,5
"430",430,"69d454217ba1e1dde3db1187",2,5,0,5
"431",431,"69d454217ba1e1dde3db1187",6,5,1,6
"432",432,"69d454217ba1e1dde3db1187",8,5,1,8
"433",433,"69d454217ba1e1dde3db1187",7,5,1,7
"434",434,"69d454217ba1e1dde3db1187",4,5,0,5
"435",435,"69d454217ba1e1dde3db1187",2,5,0,5
"436",436,"69d454217ba1e1dde3db1187",6,5,0,5
"437",437,"69d454217ba1e1dde3db1187",3,5,0,5
"438",438,"69d454217ba1e1dde3db1187",4,5,0,5
"439",439,"69d454217ba1e1dde3db1187",6,5,1,6
"440",440,"69d454217ba1e1dde3db1187",4,5,0,5
"441",441,"69d454217ba1e1dde3db1187",2,5,0,5
"442",442,"69d454217ba1e1dde3db1187",3,5,0,5
"443",443,"69d454217ba1e1dde3db1187",7,5,1,7
"444",444,"69d454217ba1e1dde3db1187",8,5,0,5
"445",445,"69d454217ba1e1dde3db1187",3,5,0,5
"446",446,"69d454217ba1e1dde3db1187",2,5,0,5
"447",447,"69d454217ba1e1dde3db1187",4,5,0,5
"448",448,"69d454217ba1e1dde3db1187",7,5,0,5
"449",449,"69d454217ba1e1dde3db1187",8,5,1,8
"450",450,"69d454217ba1e1dde3db1187",4,5,0,5
"451",451,"69d454217ba1e1dde3db1187",6,5,1,6
"452",452,"69d454217ba1e1dde3db1187",6,5,1,6
"453",453,"69d454217ba1e1dde3db1187",4,5,0,5
"454",454,"69d454217ba1e1dde3db1187",7,5,1,7
"455",455,"69d454217ba1e1dde3db1187",3,5,0,5
"456",456,"69d454217ba1e1dde3db1187",6,5,1,6
"457",457,"69d454217ba1e1dde3db1187",2,5,0,5
"458",458,"69d454217ba1e1dde3db1187",2,5,1,2
"459",459,"69d454217ba1e1dde3db1187",7,5,1,7
"460",460,"69d454217ba1e1dde3db1187",3,5,0,5
"461",461,"69d454217ba1e1dde3db1187",8,5,0,5
"462",462,"69d454217ba1e1dde3db1187",6,5,1,6
"463",463,"69d454217ba1e1dde3db1187",3,5,0,5
"464",464,"69d454217ba1e1dde3db1187",7,5,1,7
"465",465,"69d454217ba1e1dde3db1187",2,5,0,5
